Solar System,Planet,Distance (light-years),Travel Time at Speed of Light (years),Atmospheric Oxygen Content,Soil Fertility,Median Seasonal Temperatures (F),Availability of Potable Water,Suitability for Life
System832,Planet2,596.99,596.99,0.22,0.48,-1.87,N,No
System832,Planet3,1313.42,1313.42,0.29,0.54,82.93,Y,No
System833,Planet1,1104.56,1104.56,0.11,0.79,91.31,N,No
System833,Planet2,377.73,377.73,0.2,0.55,-20.16,N,No
System833,Planet3,1295.86,1295.86,0.25,0.65,24.41,Y,No
System834,Planet1,81.29,81.29,0.23,0.63,78.47,N,No
System834,Planet2,1000.0,1000.0,0.17,0.71,64.61,Y,No
System834,Planet3,418.81,418.81,0.21,0.67,-16.83,N,No
System835,Planet1,972.73,972.73,0.23,0.74,85.42,N,No
System835,Planet2,1063.27,1063.27,0.17,0.47,77.34,Y,No
System835,Planet3,301.26,301.26,0.27,0.72,99.59,Y,No
System836,Planet1,1358.6,1358.6,0.24,0.5,63.42,Y,No
System836,Planet2,289.14,289.14,0.23,0.7,-6.62,N,No
System836,Planet3,67.07,67.07,0.23,0.71,-8.63,Y,No
System837,Planet1,952.5,952.5,0.25,0.69,68.97,N,No
System837,Planet2,1261.21,1261.21,0.25,0.46,-16.85,N,No
System837,Planet3,746.61,746.61,0.21,0.69,-16.05,Y,No
System838,Planet1,87.8,87.8,0.24,0.52,25.32,Y,No
System838,Planet2,213.95,213.95,0.13,0.71,13.56,N,No
System838,Planet3,884.15,884.15,0.16,0.45,77.53,Y,No
System839,Planet1,244.69,244.69,0.2,0.49,47.23,N,No
System839,Planet2,110.38,110.38,0.25,0.56,40.5,Y,No
System839,Planet3,1356.51,1356.51,0.12,0.66,15.47,Y,No
System840,Planet1,912.99,912.99,0.27,0.66,-27.49,Y,No
System840,Planet2,475.81,475.81,0.12,0.77,99.81,Y,No
System840,Planet3,653.44,653.44,0.11,0.6,18.03,N,No
System841,Planet1,479.21,479.21,0.18,0.31,44.67,Y,No
System841,Planet2,542.02,542.02,0.18,0.7,60.29,N,No
System841,Planet3,170.59,170.59,0.16,0.75,-0.73,N,No
System842,Planet1,807.92,807.92,0.16,0.75,77.09,N,No
System842,Planet2,170.02,170.02,0.14,0.58,-15.39,N,No
System842,Planet3,1342.7,1342.7,0.21,0.45,81.05,Y,No
System843,Planet1,700.13,700.13,0.14,0.6,28.58,N,No
System843,Planet2,75.38,75.38,0.21,0.31,-10.4,Y,No
System843,Planet3,1208.11,1208.11,0.23,0.67,-20.28,Y,No
System844,Planet1,464.92,464.92,0.28,0.36,70.88,Y,No
System844,Planet2,894.52,894.52,0.24,0.56,40.94,Y,No
System844,Planet3,851.87,851.87,0.29,0.54,68.56,Y,No
System845,Planet1,1454.84,1454.84,0.16,0.45,22.95,Y,No
System845,Planet2,213.75,213.75,0.14,0.4,-12.97,Y,No
System845,Planet3,2.4,2.4,0.24,0.62,32.71,N,No
System846,Planet1,830.28,830.28,0.28,0.7,-22.63,N,No
System846,Planet2,1028.88,1028.88,0.16,0.53,-20.83,Y,No
System846,Planet3,80.02,80.02,0.25,0.46,-10.87,Y,No
System847,Planet1,126.3,126.3,0.28,0.6,39.19,N,No
System847,Planet2,8.74,8.74,0.22,0.48,19.32,N,No
System847,Planet3,714.22,714.22,0.2,0.62,33.98,N,No
System848,Planet1,55.69,55.69,0.28,0.6,23.61,N,No
System848,Planet2,145.76,145.76,0.26,0.66,-3.06,Y,No
System848,Planet3,685.87,685.87,0.3,0.37,73.27,N,No
System849,Planet1,853.33,853.33,0.22,0.55,24.33,N,No
System849,Planet2,1340.78,1340.78,0.24,0.64,59.23,N,No
System849,Planet3,1163.64,1163.64,0.23,0.62,84.39,Y,No
System850,Planet1,1407.22,1407.22,0.21,0.68,4.21,Y,No
System850,Planet2,644.06,644.06,0.2,0.52,78.37,Y,No
System850,Planet3,71.98,71.98,0.13,0.57,84.84,Y,No
System851,Planet1,1050.93,1050.93,0.25,0.59,88.93,N,No
System851,Planet2,1474.97,1474.97,0.13,0.72,97.78,Y,No
System851,Planet3,1001.95,1001.95,0.21,0.37,53.54,N,No
System852,Planet1,640.94,640.94,0.13,0.73,58.45,N,No
System852,Planet2,376.19,376.19,0.25,0.7,62.82,Y,No
System852,Planet3,795.92,795.92,0.13,0.57,-26.32,Y,No
System853,Planet1,12.09,12.09,0.3,0.74,26.36,Y,No
System853,Planet2,940.27,940.27,0.11,0.38,89.29,Y,No
System853,Planet3,639.23,639.23,0.22,0.41,71.92,Y,No
System854,Planet1,431.35,431.35,0.17,0.8,46.7,Y,No
System854,Planet2,1059.51,1059.51,0.29,0.47,86.5,N,No
System854,Planet3,1392.34,1392.34,0.23,0.35,55.54,N,No
System855,Planet1,633.37,633.37,0.22,0.46,39.76,Y,No
System855,Planet2,1350.61,1350.61,0.22,0.74,-11.47,Y,No
System855,Planet3,1417.63,1417.63,0.2,0.35,48.74,Y,No
System856,Planet1,315.98,315.98,0.23,0.76,9.39,N,No
System856,Planet2,95.87,95.87,0.15,0.36,61.98,Y,No
System856,Planet3,148.41,148.41,0.28,0.5,-10.1,N,No
System857,Planet1,1000.73,1000.73,0.15,0.45,-21.27,N,No
System857,Planet2,366.35,366.35,0.25,0.49,90.05,Y,No
System857,Planet3,1497.82,1497.82,0.28,0.77,-3.16,Y,No
System858,Planet1,1355.45,1355.45,0.26,0.34,66.45,Y,No
System858,Planet2,300.1,300.1,0.24,0.32,16.91,N,No
System858,Planet3,452.13,452.13,0.26,0.76,77.76,N,No
System859,Planet1,246.86,246.86,0.23,0.47,91.77,N,No
System859,Planet2,914.27,914.27,0.2,0.37,32.76,N,No
System859,Planet3,1471.45,1471.45,0.1,0.57,92.67,Y,No
System860,Planet1,1291.37,1291.37,0.14,0.45,82.96,N,No
System860,Planet2,731.97,731.97,0.11,0.55,-16.67,N,No
System860,Planet3,856.98,856.98,0.17,0.52,16.41,Y,No
System861,Planet1,721.61,721.61,0.18,0.43,-5.21,N,No
System861,Planet2,905.3,905.3,0.27,0.51,84.84,N,No
System861,Planet3,76.5,76.5,0.3,0.44,84.19,N,No
System862,Planet1,54.34,54.34,0.28,0.73,-23.17,Y,No
System862,Planet2,861.1,861.1,0.28,0.5,94.22,N,No
System862,Planet3,1350.61,1350.61,0.18,0.49,86.4,N,No
System863,Planet1,75.88,75.88,0.15,0.38,-20.18,N,No
System863,Planet2,442.19,442.19,0.18,0.76,29.78,N,No
System863,Planet3,558.02,558.02,0.18,0.48,-0.59,N,No
System864,Planet1,344.49,344.49,0.27,0.42,80.76,Y,No
System864,Planet2,817.08,817.08,0.16,0.38,-4.83,Y,No
System864,Planet3,1343.96,1343.96,0.24,0.55,10.17,N,No
System865,Planet1,1100.31,1100.31,0.26,0.59,10.82,Y,No
System865,Planet2,849.95,849.95,0.29,0.41,5.77,N,No
System865,Planet3,1248.4,1248.4,0.24,0.4,22.64,Y,No
System866,Planet1,646.27,646.27,0.25,0.39,-27.75,N,No
System866,Planet2,604.38,604.38,0.3,0.66,8.81,N,No
System866,Planet3,98.56,98.56,0.26,0.44,59.85,Y,No
System867,Planet1,751.71,751.71,0.22,0.78,-13.73,Y,No
System867,Planet2,1319.35,1319.35,0.24,0.44,55.68,Y,No
System867,Planet3,874.38,874.38,0.17,0.74,47.25,N,No
System868,Planet1,17.86,17.86,0.2,0.7,88.54,Y,No
System868,Planet2,69.63,69.63,0.21,0.59,78.27,Y,No
System868,Planet3,295.06,295.06,0.24,0.68,92.87,Y,No
System869,Planet1,35.98,35.98,0.14,0.79,14.91,Y,No
System869,Planet2,1206.22,1206.22,0.24,0.65,-3.19,N,No
System869,Planet3,431.44,431.44,0.1,0.37,77.72,Y,No
System870,Planet1,668.85,668.85,0.15,0.61,82.25,Y,No
System870,Planet2,1449.64,1449.64,0.17,0.34,15.33,Y,No
System870,Planet3,328.25,328.25,0.24,0.52,96.58,Y,No
System871,Planet1,901.79,901.79,0.25,0.59,77.49,N,No
System871,Planet2,239.47,239.47,0.27,0.71,-22.47,N,No
System871,Planet3,1061.42,1061.42,0.16,0.38,69.04,N,No
System872,Planet1,497.95,497.95,0.28,0.39,17.72,N,No
System872,Planet2,1352.97,1352.97,0.29,0.68,70.17,Y,No
System872,Planet3,1181.12,1181.12,0.25,0.59,73.53,N,No
System873,Planet1,160.74,160.74,0.26,0.55,-9.0,Y,No
System873,Planet2,470.46,470.46,0.13,0.47,2.75,N,No
System873,Planet3,211.31,211.31,0.21,0.79,38.8,Y,No
System874,Planet1,1383.05,1383.05,0.17,0.4,50.32,N,No
System874,Planet2,192.53,192.53,0.22,0.67,77.1,N,No
System874,Planet3,964.87,964.87,0.17,0.77,93.31,N,No
System875,Planet1,1110.03,1110.03,0.19,0.52,37.1,N,No
System875,Planet2,645.54,645.54,0.2,0.37,-18.07,Y,No
System875,Planet3,1470.0,1470.0,0.2,0.45,22.89,Y,No
System876,Planet1,1293.1,1293.1,0.23,0.66,13.76,Y,No
System876,Planet2,755.21,755.21,0.14,0.61,39.09,N,No
System876,Planet3,1335.96,1335.96,0.11,0.39,60.04,Y,No
System877,Planet1,1154.58,1154.58,0.12,0.68,-29.74,N,No
System877,Planet2,411.03,411.03,0.13,0.78,43.14,N,No
System877,Planet3,1329.04,1329.04,0.3,0.59,50.84,N,No
System878,Planet1,1262.5,1262.5,0.2,0.76,59.18,Y,No
System878,Planet2,903.23,903.23,0.28,0.65,73.35,N,No
System878,Planet3,457.99,457.99,0.21,0.53,2.92,N,No
System879,Planet1,800.08,800.08,0.24,0.71,62.26,N,No
System879,Planet2,676.56,676.56,0.16,0.68,64.43,N,No
System879,Planet3,785.11,785.11,0.26,0.39,76.49,N,No
System880,Planet1,874.87,874.87,0.14,0.73,84.42,N,No
System880,Planet2,1030.59,1030.59,0.21,0.44,38.37,N,No
System880,Planet3,111.35,111.35,0.2,0.63,63.47,Y,No
System881,Planet1,367.47,367.47,0.22,0.49,32.82,N,No
System881,Planet2,1338.84,1338.84,0.19,0.45,23.02,Y,No
System881,Planet3,1365.13,1365.13,0.16,0.39,-27.1,Y,No
System882,Planet1,832.68,832.68,0.26,0.8,-9.84,Y,No
System882,Planet2,1490.74,1490.74,0.1,0.47,89.35,N,No
System882,Planet3,1258.04,1258.04,0.16,0.58,-20.32,Y,No
System883,Planet1,1213.34,1213.34,0.29,0.34,35.02,Y,No
System883,Planet2,1391.11,1391.11,0.23,0.39,20.73,N,No
System883,Planet3,1391.03,1391.03,0.17,0.49,47.93,N,No
System884,Planet1,1295.9,1295.9,0.21,0.57,76.19,Y,No
System884,Planet2,768.95,768.95,0.19,0.57,35.65,N,No
System884,Planet3,1032.66,1032.66,0.24,0.77,-10.08,Y,No
System885,Planet1,633.08,633.08,0.16,0.36,58.22,Y,No
System885,Planet2,6.77,6.77,0.3,0.59,-18.07,Y,No
System885,Planet3,943.08,943.08,0.22,0.46,9.73,Y,No
System886,Planet1,805.37,805.37,0.11,0.72,61.57,N,No
System886,Planet2,289.29,289.29,0.18,0.52,19.0,Y,No
System886,Planet3,249.74,249.74,0.1,0.34,4.04,Y,No
System887,Planet1,852.58,852.58,0.12,0.51,52.21,Y,No
System887,Planet2,330.77,330.77,0.25,0.69,93.37,Y,No
System887,Planet3,676.8,676.8,0.13,0.35,-26.56,Y,No
System888,Planet1,1118.6,1118.6,0.19,0.74,81.72,N,No
System888,Planet2,1272.17,1272.17,0.16,0.6,35.56,Y,No
System888,Planet3,242.57,242.57,0.13,0.71,3.49,Y,No
System889,Planet1,1160.41,1160.41,0.22,0.41,73.91,N,No
System889,Planet2,241.08,241.08,0.29,0.58,-5.6,Y,No
System889,Planet3,85.58,85.58,0.29,0.37,44.74,N,No
System890,Planet1,816.97,816.97,0.19,0.67,9.61,N,No
System890,Planet2,265.87,265.87,0.18,0.43,12.83,Y,No
System890,Planet3,505.27,505.27,0.27,0.72,73.84,N,No
System891,Planet1,62.79,62.79,0.18,0.45,89.32,Y,No
System891,Planet2,1087.52,1087.52,0.22,0.59,88.96,Y,No
System891,Planet3,382.5,382.5,0.1,0.34,82.66,N,No
System892,Planet1,1247.4,1247.4,0.1,0.65,55.98,N,No
System892,Planet2,1243.02,1243.02,0.22,0.54,17.97,Y,No
System892,Planet3,225.38,225.38,0.25,0.53,87.72,Y,No
System893,Planet1,1095.71,1095.71,0.21,0.34,17.32,Y,No
System893,Planet2,1262.73,1262.73,0.26,0.68,71.68,Y,No
System893,Planet3,1229.53,1229.53,0.29,0.8,-28.53,N,No
System894,Planet1,85.05,85.05,0.23,0.44,66.75,N,No
System894,Planet2,957.03,957.03,0.27,0.77,-22.61,Y,No
System894,Planet3,640.27,640.27,0.25,0.5,-9.86,Y,No
System895,Planet1,373.38,373.38,0.22,0.67,36.34,N,No
System895,Planet2,1466.38,1466.38,0.23,0.6,56.33,Y,No
System895,Planet3,1049.23,1049.23,0.27,0.57,29.06,Y,No
System896,Planet1,836.92,836.92,0.28,0.79,-20.86,Y,No
System896,Planet2,819.38,819.38,0.27,0.69,11.3,Y,No
System896,Planet3,1464.64,1464.64,0.21,0.63,30.32,Y,No
System897,Planet1,790.25,790.25,0.18,0.76,-19.46,Y,No
System897,Planet2,458.47,458.47,0.17,0.68,62.81,Y,No
System897,Planet3,528.81,528.81,0.14,0.49,52.0,Y,No
System898,Planet1,1243.3,1243.3,0.18,0.44,93.8,N,No
System898,Planet2,97.04,97.04,0.1,0.68,82.87,Y,No
System898,Planet3,161.59,161.59,0.22,0.53,16.31,N,No
System899,Planet1,82.82,82.82,0.2,0.33,49.82,Y,No
System899,Planet2,192.06,192.06,0.29,0.54,63.87,Y,No
System899,Planet3,1086.16,1086.16,0.24,0.58,96.64,Y,No
System900,Planet1,1085.59,1085.59,0.15,0.71,89.15,Y,No
System900,Planet2,1333.97,1333.97,0.13,0.62,53.19,N,No
System900,Planet3,1232.02,1232.02,0.26,0.36,7.42,N,No
System901,Planet1,790.7,790.7,0.26,0.3,79.34,N,No
System901,Planet2,263.69,263.69,0.29,0.38,58.11,Y,No
System901,Planet3,4.34,4.34,0.13,0.4,-6.24,N,No
System902,Planet1,432.47,432.47,0.12,0.56,54.38,Y,No
System902,Planet2,531.69,531.69,0.13,0.73,92.69,Y,No
System902,Planet3,171.47,171.47,0.27,0.5,45.42,Y,No
System903,Planet1,1220.63,1220.63,0.17,0.39,28.85,Y,No
System903,Planet2,1455.81,1455.81,0.14,0.45,50.07,N,No
System903,Planet3,1473.79,1473.79,0.2,0.58,5.15,N,No
System904,Planet1,870.91,870.91,0.11,0.67,72.63,N,No
System904,Planet2,539.52,539.52,0.25,0.43,48.01,N,No
System904,Planet3,1475.99,1475.99,0.3,0.69,84.7,N,No
System905,Planet1,1386.35,1386.35,0.29,0.4,68.18,N,No
System905,Planet2,883.06,883.06,0.21,0.72,47.49,Y,No
System905,Planet3,1066.4,1066.4,0.18,0.44,33.65,N,No
System906,Planet1,845.17,845.17,0.2,0.43,91.08,Y,No
System906,Planet2,1155.41,1155.41,0.24,0.53,56.17,N,No
System906,Planet3,355.59,355.59,0.18,0.35,55.64,N,No
System907,Planet1,571.6,571.6,0.28,0.55,87.45,Y,No
System907,Planet2,862.11,862.11,0.22,0.39,24.92,Y,No
System907,Planet3,302.57,302.57,0.19,0.34,-22.17,N,No
System908,Planet1,359.96,359.96,0.18,0.4,88.39,N,No
System908,Planet2,480.58,480.58,0.2,0.37,96.35,Y,No
System908,Planet3,645.74,645.74,0.18,0.74,82.11,Y,No
System909,Planet1,898.59,898.59,0.17,0.58,46.11,N,No
System909,Planet2,1009.24,1009.24,0.23,0.59,26.7,N,No
System909,Planet3,7.2,7.2,0.15,0.56,18.92,N,No
System910,Planet1,1346.17,1346.17,0.21,0.33,55.84,N,No
System910,Planet2,544.88,544.88,0.24,0.49,99.71,N,No
System910,Planet3,1225.54,1225.54,0.22,0.31,-22.94,N,No
System911,Planet1,4.56,4.56,0.22,0.65,44.06,Y,No
System911,Planet2,662.96,662.96,0.13,0.63,17.81,N,No
System911,Planet3,137.8,137.8,0.22,0.48,81.79,N,No
System912,Planet1,146.81,146.81,0.29,0.46,87.83,N,No
System912,Planet2,256.25,256.25,0.19,0.51,76.09,Y,No
System912,Planet3,193.25,193.25,0.12,0.42,76.43,Y,No
System913,Planet1,1200.1,1200.1,0.26,0.74,73.85,N,No
System913,Planet2,728.97,728.97,0.14,0.74,93.54,Y,No
System913,Planet3,1093.21,1093.21,0.15,0.56,36.26,N,No
System914,Planet1,499.36,499.36,0.27,0.65,65.09,Y,No
System914,Planet2,1219.5,1219.5,0.3,0.42,-6.72,Y,No
System914,Planet3,1236.76,1236.76,0.28,0.37,82.94,N,No
System915,Planet1,1471.13,1471.13,0.23,0.37,15.39,N,No
System915,Planet2,248.69,248.69,0.27,0.51,20.01,Y,No
System915,Planet3,645.37,645.37,0.16,0.58,-11.48,N,No
System916,Planet1,1089.74,1089.74,0.14,0.57,50.17,Y,No
System916,Planet2,1383.9,1383.9,0.11,0.73,31.73,Y,No
System916,Planet3,1217.03,1217.03,0.28,0.6,-2.44,Y,No
System917,Planet1,1049.9,1049.9,0.29,0.66,22.99,Y,No
System917,Planet2,1253.99,1253.99,0.3,0.43,48.54,N,No
System917,Planet3,322.51,322.51,0.23,0.38,-14.72,N,No
System918,Planet1,455.49,455.49,0.1,0.79,85.06,Y,No
System918,Planet2,102.83,102.83,0.22,0.45,47.47,N,No
System918,Planet3,406.19,406.19,0.1,0.53,57.81,N,No
System919,Planet1,568.08,568.08,0.14,0.51,59.95,Y,No
System919,Planet2,340.29,340.29,0.22,0.38,63.02,Y,No
System919,Planet3,690.66,690.66,0.12,0.47,-22.64,N,No
System920,Planet1,240.89,240.89,0.26,0.49,44.37,N,No
System920,Planet2,595.59,595.59,0.22,0.76,77.23,N,No
System920,Planet3,931.9,931.9,0.28,0.62,-27.22,Y,No
System921,Planet1,1020.01,1020.01,0.26,0.71,79.33,N,No
System921,Planet2,648.93,648.93,0.14,0.63,65.3,N,No
System921,Planet3,1125.11,1125.11,0.17,0.54,93.55,Y,No
System922,Planet1,517.45,517.45,0.29,0.7,46.16,Y,No
System922,Planet2,1063.92,1063.92,0.26,0.48,83.51,Y,No
System922,Planet3,1087.97,1087.97,0.2,0.71,-16.07,N,No
System923,Planet1,1119.04,1119.04,0.21,0.62,49.25,Y,No
System923,Planet2,99.11,99.11,0.27,0.47,0.46,Y,No
System923,Planet3,1447.93,1447.93,0.24,0.48,-27.92,Y,No
System924,Planet1,1431.13,1431.13,0.2,0.65,59.53,Y,No
System924,Planet2,750.97,750.97,0.25,0.48,8.5,Y,No
System924,Planet3,1233.05,1233.05,0.28,0.31,60.7,Y,No
System925,Planet1,1225.34,1225.34,0.26,0.73,56.8,N,No
System925,Planet2,1162.95,1162.95,0.14,0.38,4.75,Y,No
System925,Planet3,588.24,588.24,0.19,0.62,55.44,N,No
System926,Planet1,176.67,176.67,0.12,0.51,-2.17,N,No
System926,Planet2,1100.73,1100.73,0.29,0.64,92.25,N,No
System926,Planet3,25.16,25.16,0.11,0.41,47.67,Y,No
System927,Planet1,29.52,29.52,0.19,0.77,90.27,N,No
System927,Planet2,1252.82,1252.82,0.13,0.41,25.57,N,No
System927,Planet3,892.11,892.11,0.27,0.71,77.85,Y,No
System928,Planet1,217.87,217.87,0.2,0.42,62.2,Y,No
System928,Planet2,845.87,845.87,0.17,0.38,-14.52,Y,No
System928,Planet3,1059.49,1059.49,0.24,0.39,-28.35,N,No
System929,Planet1,962.27,962.27,0.15,0.43,-22.41,N,No
System929,Planet2,712.65,712.65,0.24,0.8,68.95,N,No
System929,Planet3,942.0,942.0,0.17,0.36,88.92,Y,No
System930,Planet1,822.82,822.82,0.17,0.39,44.86,Y,No
System930,Planet2,252.42,252.42,0.15,0.32,53.26,N,No
System930,Planet3,117.46,117.46,0.13,0.59,2.24,Y,No
System931,Planet1,1022.89,1022.89,0.16,0.63,93.94,Y,No
System931,Planet2,470.7,470.7,0.12,0.78,-17.89,Y,No
System931,Planet3,1009.94,1009.94,0.17,0.51,3.8,Y,No
System932,Planet1,309.38,309.38,0.24,0.73,-16.61,N,No
System932,Planet2,1014.82,1014.82,0.18,0.52,73.03,N,No
System932,Planet3,6.88,6.88,0.11,0.52,-11.74,Y,No
System933,Planet1,919.44,919.44,0.12,0.71,-21.53,Y,No
System933,Planet2,937.7,937.7,0.15,0.31,35.9,Y,No
System933,Planet3,1083.78,1083.78,0.16,0.64,46.23,Y,No
System934,Planet1,1056.0,1056.0,0.21,0.32,99.38,Y,No
System934,Planet2,160.65,160.65,0.17,0.34,63.4,N,No
System934,Planet3,1387.15,1387.15,0.15,0.49,-2.57,Y,No
System935,Planet1,234.92,234.92,0.25,0.45,16.38,Y,No
System935,Planet2,1198.44,1198.44,0.22,0.56,80.91,Y,No
System935,Planet3,783.4,783.4,0.1,0.7,97.19,Y,No
System936,Planet1,555.44,555.44,0.18,0.64,72.48,N,No
System936,Planet2,616.73,616.73,0.26,0.57,20.61,Y,No
System936,Planet3,1412.42,1412.42,0.2,0.34,63.33,Y,No
System937,Planet1,1217.53,1217.53,0.12,0.76,77.03,Y,No
System937,Planet2,1329.77,1329.77,0.13,0.42,80.91,N,No
System937,Planet3,184.5,184.5,0.1,0.35,59.26,Y,No
System938,Planet1,298.82,298.82,0.29,0.44,25.7,Y,No
System938,Planet2,844.95,844.95,0.25,0.38,-13.79,N,No
System938,Planet3,404.52,404.52,0.23,0.44,99.13,N,No
System939,Planet1,1006.89,1006.89,0.27,0.35,24.15,Y,No
System939,Planet2,1299.12,1299.12,0.11,0.48,96.43,N,No
System939,Planet3,865.51,865.51,0.18,0.56,99.73,Y,No
System940,Planet1,1408.57,1408.57,0.26,0.56,-2.92,N,No
System940,Planet2,95.08,95.08,0.3,0.46,7.68,Y,No
System940,Planet3,1383.82,1383.82,0.15,0.39,1.91,Y,No
System941,Planet1,1332.98,1332.98,0.11,0.73,81.11,N,No
System941,Planet2,1166.44,1166.44,0.11,0.76,1.92,N,No
System941,Planet3,1396.01,1396.01,0.29,0.35,1.21,N,No
System942,Planet1,1281.81,1281.81,0.14,0.79,39.14,N,No
System942,Planet2,1398.81,1398.81,0.15,0.46,13.44,Y,No
System942,Planet3,191.68,191.68,0.23,0.46,57.61,N,No
System943,Planet1,1257.17,1257.17,0.19,0.51,85.41,N,No
System943,Planet2,363.05,363.05,0.18,0.46,92.29,Y,No
System943,Planet3,1164.4,1164.4,0.16,0.65,33.22,N,No
System944,Planet1,796.46,796.46,0.21,0.64,1.3,N,No
System944,Planet2,1104.23,1104.23,0.11,0.51,64.46,N,No
System944,Planet3,386.83,386.83,0.14,0.53,89.08,Y,No
System945,Planet1,739.07,739.07,0.21,0.55,17.85,N,No
System945,Planet2,132.43,132.43,0.21,0.75,-4.78,Y,No
System945,Planet3,1471.22,1471.22,0.24,0.48,6.74,Y,No
System946,Planet1,786.31,786.31,0.29,0.39,21.2,N,No
System946,Planet2,807.18,807.18,0.24,0.74,-27.14,N,No
System946,Planet3,168.58,168.58,0.15,0.47,51.82,N,No
System947,Planet1,820.74,820.74,0.25,0.4,84.41,Y,No
System947,Planet2,668.91,668.91,0.21,0.6,87.67,N,No
System947,Planet3,929.64,929.64,0.18,0.52,93.93,Y,No
System948,Planet1,628.31,628.31,0.22,0.46,18.93,Y,No
System948,Planet2,79.42,79.42,0.13,0.39,91.77,N,No
System948,Planet3,184.21,184.21,0.21,0.38,84.87,Y,No
System949,Planet1,719.55,719.55,0.19,0.63,66.66,N,No
System949,Planet2,806.66,806.66,0.17,0.71,78.75,Y,No
System949,Planet3,482.69,482.69,0.21,0.72,69.57,N,No
System950,Planet1,908.26,908.26,0.28,0.75,-8.59,N,No
System950,Planet2,1006.88,1006.88,0.19,0.68,-16.19,N,No
System950,Planet3,769.02,769.02,0.22,0.68,-11.08,N,No
System951,Planet1,49.16,49.16,0.2,0.35,12.83,N,No
System951,Planet2,1347.34,1347.34,0.21,0.34,-12.98,Y,No
System951,Planet3,507.98,507.98,0.2,0.74,-28.46,Y,No
System952,Planet1,81.03,81.03,0.29,0.35,18.79,Y,No
System952,Planet2,48.55,48.55,0.17,0.58,32.7,N,No
System952,Planet3,1219.93,1219.93,0.27,0.47,-16.34,N,No
System953,Planet1,900.86,900.86,0.15,0.33,76.47,Y,No
System953,Planet2,284.12,284.12,0.2,0.48,24.37,Y,No
System953,Planet3,1187.78,1187.78,0.28,0.34,67.69,Y,No
System954,Planet1,471.16,471.16,0.19,0.69,-0.93,Y,No
System954,Planet2,468.5,468.5,0.19,0.65,95.68,N,No
System954,Planet3,410.91,410.91,0.2,0.59,23.58,Y,No
System955,Planet1,943.38,943.38,0.15,0.41,8.45,Y,No
System955,Planet2,742.44,742.44,0.24,0.69,22.46,Y,No
System955,Planet3,459.03,459.03,0.26,0.53,58.62,N,No
System956,Planet1,705.89,705.89,0.22,0.64,80.05,Y,No
System956,Planet2,63.12,63.12,0.22,0.63,37.65,Y,No
System956,Planet3,403.88,403.88,0.11,0.61,89.77,N,No
System957,Planet1,1470.83,1470.83,0.11,0.45,77.57,N,No
System957,Planet2,907.29,907.29,0.23,0.73,2.62,N,No
System957,Planet3,358.78,358.78,0.28,0.3,-14.75,N,No
System958,Planet1,1125.43,1125.43,0.12,0.37,76.97,N,No
System958,Planet2,1463.11,1463.11,0.12,0.66,45.38,N,No
System958,Planet3,598.46,598.46,0.22,0.34,63.67,Y,No
System959,Planet1,433.15,433.15,0.14,0.69,19.8,Y,No
System959,Planet2,1426.15,1426.15,0.29,0.32,64.61,Y,No
System959,Planet3,159.12,159.12,0.14,0.77,16.09,Y,No
System960,Planet1,614.51,614.51,0.26,0.76,78.05,Y,No
System960,Planet2,73.28,73.28,0.29,0.6,98.38,Y,No
System960,Planet3,111.52,111.52,0.23,0.71,52.12,Y,No
System961,Planet1,778.05,778.05,0.19,0.49,24.0,Y,No
System961,Planet2,1141.47,1141.47,0.19,0.5,-29.71,Y,No
System961,Planet3,734.55,734.55,0.13,0.48,44.16,Y,No
System962,Planet1,346.49,346.49,0.23,0.51,38.6,Y,No
System962,Planet2,1256.24,1256.24,0.1,0.32,24.79,N,No
System962,Planet3,999.25,999.25,0.1,0.47,21.63,N,No
System963,Planet1,1200.78,1200.78,0.14,0.54,-7.42,Y,No
System963,Planet2,1116.02,1116.02,0.21,0.52,-20.02,Y,No
System963,Planet3,532.58,532.58,0.12,0.65,-4.62,Y,No
System964,Planet1,585.08,585.08,0.19,0.44,21.62,Y,No
System964,Planet2,1285.11,1285.11,0.24,0.32,98.31,Y,No
System964,Planet3,1374.38,1374.38,0.21,0.63,-1.7,N,No
System965,Planet1,1132.38,1132.38,0.2,0.42,79.8,N,No
System965,Planet2,87.92,87.92,0.25,0.72,52.07,Y,No
System965,Planet3,1435.58,1435.58,0.23,0.47,11.58,N,No
System966,Planet1,508.05,508.05,0.24,0.69,-15.74,N,No
System966,Planet2,1446.22,1446.22,0.15,0.55,-17.3,Y,No
System966,Planet3,948.92,948.92,0.2,0.58,41.57,Y,No
System967,Planet1,913.71,913.71,0.12,0.54,62.73,N,No
System967,Planet2,11.73,11.73,0.11,0.48,72.63,N,No
System967,Planet3,977.22,977.22,0.23,0.55,49.69,Y,No
System968,Planet1,526.09,526.09,0.17,0.56,67.9,Y,No
System968,Planet2,1153.98,1153.98,0.18,0.39,-20.58,N,No
System968,Planet3,409.39,409.39,0.25,0.74,-3.51,Y,No
System969,Planet1,759.83,759.83,0.29,0.33,62.35,N,No
System969,Planet2,444.7,444.7,0.25,0.31,19.25,N,No
System969,Planet3,1430.68,1430.68,0.14,0.46,57.79,Y,No
System970,Planet1,1253.16,1253.16,0.13,0.59,-22.41,Y,No
System970,Planet2,390.27,390.27,0.17,0.33,91.03,N,No
